"","SeqName","Project","SampleType","Mouse","Day","Community","MouseType","Diet","Well","pH","Location","finalDaySamples","Buffer","Replicate","Inoculum","names","Condition","mouse_location","mouse_sampleType"
"c2m7_S214","c2m7_S214","c2m7","DAY0_1",NA,"0",NA,NA,NA,"B10","8.5",NA,0,50,NA,2522,NA,"8.5_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S215","c2m7_S215","c2m7","DAY0_1",NA,"0",NA,NA,NA,"B11","9",NA,0,50,NA,2522,NA,"9_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S217","c2m7_S217","c2m7","DAY0_1",NA,"0",NA,NA,NA,"C1","6",NA,0,0,NA,2522,NA,"6_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S218","c2m7_S218","c2m7","DAY0_1",NA,"0",NA,NA,NA,"C2","7",NA,0,0,NA,2522,NA,"7_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S219","c2m7_S219","c2m7","DAY0_1",NA,"0",NA,NA,NA,"C3","8",NA,0,0,NA,2522,NA,"8_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S22","c2m7_S22","c2m7","p4mp1_d14",NA,NA,NA,NA,NA,"B1","7",NA,0,NA,NA,NA,NA,"7_NA","NA_NA_NA_NA_NA","NA_p4mp1_d14_NA_NA_NA"
"c2m7_S220","c2m7_S220","c2m7","DAY0_1",NA,"0",NA,NA,NA,"C4","9",NA,0,0,NA,2522,NA,"9_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S221","c2m7_S221","c2m7","DAY0_1",NA,"0",NA,NA,NA,"C5","6",NA,0,50,NA,2522,NA,"6_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S222","c2m7_S222","c2m7","DAY0_1",NA,"0",NA,NA,NA,"C6","6.5",NA,0,50,NA,2522,NA,"6.5_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S223","c2m7_S223","c2m7","DAY0_1",NA,"0",NA,NA,NA,"C7","7",NA,0,50,NA,2522,NA,"7_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
